14,0,"Hier ist die Presse, insbesondere der Focus, zum Anwalt des Souverän geworden, gebt bitte Gas und verteidigt Recht und Freiheit!",,,,,,,,,,,
15,0,"Eins ist doch klar Unsere Regierung hat wissentlich einen Terroristen ins Asland fliegen lassen, um innerpolitische Verstrickungen zu vertuschen. Jetzt kmm einiges an die Oberfläche, und schon fangen unsere Granden an zu stottern und zu lügen.",,,,,,,,,,,,
16,0,"Pannen Pannen auch bei der Berichterstattung, ist Sanitäter Hüsges der Verletzte, der noch im Koma liegt, was uns die ganze Zeit verschwiegen wurde?",,,,,,,,,,,
17,0,"Der ganze Fall Amri und Ben Amar zeigt die ganze Unfähigkeit dieses Staates, eine Panne nach der anderen, Kompetenzgerangel. Der Staat war auf die arabischen Terroristen keinen Tag vorbereitet. Die größte Panne nun Seehofer, der mit den Mitteln des Staates nach Amri fahndet.....möchte man ihn vor den Untersuchungsausschuss bitten?",,,,,,,,,,,
18,1,"Aber hallo Wenn man von einer durchschnittlichen Intelligenz der Beteiligten ausgeht,kann man eigentlich nur zu dem Schluss kommen,dass hier ganz bewust etwas vrrschleiert werden sollte. Dazu diese seltsame Stellungnahme von Seehofer gestern, bei der er sich gewunden hst wie ein Aal.",,,,,,,,,,,
19,0,"Ich vermute mal, das von höchster Ebene aus, tarnen, täuschen und vertuschen, als Devise ausgegeben wurde?! Ich halte mittlerweile, nichts mehr für unmöglich!",,,,,,,,,
20,0,"Es ist erschreckend für uns Normalbürger, was für ein s€händliches Spiel die Merkel Regierung hier mit uns treibt.",,,,,,,,,,,,,
21,0,"Deckungsmanöver ...bedarf es noch mehr Beispiele, dass Polizei und Justiz sich von Oben manipulieren lassen, um entweder polizeiliches, politisches oder auch justiziables Versagen zu decken?",,,,,,,,,,,
22,1,Eine Geschichte des Versagens... ...der deutschen Sicherheitsbehörden. Alle am Versagen beteiligten Mitarbeiter sollten nach genauer Überprüfung und Aburteilung durch ein seriöses Gericht aus dem Dienst entfernt werden.,,,,,,,,,,,,,,
23,0,"Da wurden auch Spuren beseitigt die nicht ins Konzept passten. Die Aussagen der Auffinder (Feuerwehr, Sani, Fotos) gingen verloren bzw. wurden vernichtet.",,,,,,,,,,,,
24,1,"Was für ein Skandal ohne politischen Resonanzboden. Wir blicken in ein großes schwarzes Loch, gefüllt mit Vertuschungen, Geheimdienstoperationen, die in die Nähe der Beteiligung an diesem Anschlag rücken. Schon der NSU Skandal, in dem die Geheimdienste nicht ohne Taktstock agierten, zeigt die ungenügende Kontrolle dieser Institutionen durch das Parlament. Unsere Demokratie ist vergleichbar mit einem Reagenzglas, deren Füllung einmal ein Leneselexier beinhaltete und jetzt nur noch eine klebrige, schleimige Maße voller grüner Algen.",,,,,,,
25,0,Die Wirklichkeit ist schlimmer als sich Verschwörungstheoretiker ausdenken können. Es stinkt zum Himmel. Seehofer hat keine Ahnung wo sich der Amri-Freund aufhält.,,,,,,,,,,,,,,
26,0,"Die Staatsanwaltschaft sollte sich schnell mal an die Arbeit machen und sich den Lebensstandard, Vermögenswerte und vor allem besonders das Bankkonto dieses Hauptkommissars betrachten. Das stinkt doch meilenweit nach honorierter Vertuschung.",,,,,,,,,,,,,
27,0,"Ich glaube immer noch, dass das Ganze ein Inside-Job war und die Toten und Verletzte Erfindungen waren. Habe wochenlang die Videos und Bilder studiert, die Rettungswagen und Helfer beobachtet - die offizielle Geschichte ist völlig unmöglich. Die ganze Geschichte stinkt zum Himmel.",,,,,,,,,,,,
28,1,Neue Pannen? eine Panne interpretiere ich als ein unbeabsichtigtes Ergebnis. Dieser sogenannte Hauptkommissar hat alles andere als unbeabsichtigt gehandelt. Er hat bewusst Tatsachen verschleiert und die Ermittlungen damit beeinträchtigt. Ist dieser Typ noch im Dienst? Er gehört nämlich in eines der sichersten Berliner Strafvollzugsanstalten.,,,,,,,,,,,,,,
29,0,"Man kann nicht behaupten, das Deutschland seine Gesetzlosen nicht unterstützt, das macht sie aber sicher nicht bei Einheimischen, ich möchte nicht wissen, wie viele dieser kleineren Attentate getürkt sind um eine gewisse Stimmung im Volk aufrechtzuerhalten...ein Schelm der Böses denkt",,,,,,,,,,
30,0,"Pannen? Oder doch eher pure Absicht um etwas zu verschleiern, weil uns die Wahrheit ja bekanntlich verschrecken könnte. Auch wenn es sicher jede Menge Unfähigkeiten gibt, aber das ganze stinkt doch alles sehr gewollt und bewusst durchgezogen.",,,,,,,,,,,,
31,1,"Wundern Mich wundert schon lange nichts mehr. In Deutschland klappt NICHTS mehr wie es sollte. Egal ob wie hier in dem Fall, Bundeswehr, Regierungsflieger, Abschiebungen, Rente usw usw. Deutschland ist zu einer Bananenrepublik verkommen. Dank Merkel und ihren Jüngern.",,,,,,,,,,
32,1,"So auch in NRW, wo die von SPD-Jäger als Innenminister ins Amt gehievten Polizisten über Jahre hinweg alle Anzeichen für Kindesmissbrauch nicht wahrnehmen wollten.",,,,,,,,,,,,,
33,0,"Da kommt gar nix bei rum. War doch auch so bei den Silvester Vergewaltigungen, weder Kraft noch Jäger haben Verantwortung übernommen, genauso wird es auch in diesem Fall sein. Und Merkel hat natürlich auch hier wieder nichts davon gewusst? Wers glaubt.",,,,,,,,,,,,
34,0,Politisch dirigierte Verfolgungsbehörden Solange der Staat es erlaubt das die Politik soviel Einfluß auf Polizei und Ordnungsdienst hat wird sich nichts ändern. Die Polizeipressestelle untersteht ganz der Politik wo ja auch dessen oberster Dienstherr/in sitzt. Genau das ist das Problem das die Polizeiorgane gänzlich für politische Zwecke mißbraucht werden.,,,,,,,,,,,,,,
35,1,"leider keinen grossen Fisch gefangen zuerst hat man sicher nichts unternommen weil man an die Hintermänner kommen wollte und vom dicken Fisch geträumt hat, danach war es zu spät und jetzt gehts drum die Versäumnisse zu vertuschen",,,,,,,,,,,,,
36,1,"Jämmerlich! Nun kommen sie aus ihren Löchern gekrochen, nachdem das vorhersehbare, von ihnen selbst verursachte Desaster mit all seinen fatalen Folgen eingetreten ist. Was für erbärmliche Politdarsteller im Kanzleramt, Kabinett und in den Reihen der im Parlament vertretenen Altparteien! Wir werden von einer Riege von Stümpern und Dilletanten regiert.",,,,,,,,,,,
37,0,Und das Unbegreifliche und zutiefst Frustrierende daran ist: Die meisten merken es nicht mal oder es interessiert sie nicht! Deutschland im Jahre 2019.,,,,,,,,,,,,,,
38,0,"Ja, wem haben wir denn diese überhaupt zu verdanken? Warum sind soviel unkontrolliert reingelassen worden? Ja, dies ist Merkel´s Verdienst.",,,,,,,,,,,,
39,0,"Solche Kapriolen können sich nur linksrotgrüne Ideologen leisten, denn deren Ideologie schließt den Verstand - auch bei ihren Wählern - aus.",,,,,,,,,,,,,
40,0,"Ich glaube nicht an Verschwörungen, und gerade deswegen müsste der Fall wirklich mal aufgeklärt werden, gegen den Willen und gegen die Bestrebungen der den Fall schützenden Gutmenschen!",,,,,,,,,,,,
41,0,"Keine „Neue Panne“, sondern geheimdienstliche Manipulation zur Verdunklung einer gescheiterten Aktion ....Ben Ammar war vermutlich V-Mann und die ganze islamische Chlique hat die Dienste an der Nase herumgeführt - mit tragischem Ausgang, leider! Das Innenministerium wußte ganz genau Bescheid, die Kanzlerin war informiert - das traurige „Ergebnis“ passte nicht ins ideologische Migrations-Weltbild .....!",,,,,,,,,,,
42,0,"Wir brauchen keine Verschwörungstheorien, wir haben Politiker die jede noch so grauenvolle Vorstellung überbieten. Opfer über Opfer - vermeintliche Pannen über Pannen...",,,,,,,,,,,,,
43,0,"Geht zu den Grünen...LOL Er passt schon zu den Grünen und egal die CDU ist diesen ""Bildungspolitiker"" zum Glück losgeworden.",,,,,,,,,,,,,,
44,0,"Einer der ein funktionierendes System seinen politischen und persönlichen Ideen opfert und seine persönliche Fete mit der DDR austrägt. Am Ende wurde feststellt die ganze Inklusion und ähnliche Experimente wurden auf dem Rücken der Schüler und Lehrer ausgetragen und funktioniert es nicht. In der Bildungspolitik hat der Herr und seine Kollegen aus allen Parteien genug Baustellen mit ihren lächerlichen Ideen hinterlassen bzw. aufgemacht... DANKE für Nichts, Herr ""Bildungspolitiker""!",,,,,,,,,,,,,
45,0,Gut so jeder weniger mit Refugees welcome Shirts in der CDU ist ein Gewinn.,,,,,,,,,,,,,,
46,0,"Da aber nicht er derjenige ist, der seine sogenannten ""schutzlosen Fremden"" Zwangsversorgen muss, wobei man bei der Masse sowieso bezweifelten muss, dass sie erstens nicht ""Schutz"" im eigenen Land fingen könnten und zweitens spätestens in einem der an die Heimat angrenzenden Nachbarländer ""Schutz"" fänden, sollte er sich weißgott nicht ärgern, das viele seine Haltung nicht teilen. Leider ist die Masse dieser Gutmenschen extrem realitätsfremd und bekommt weder die unzähligen Straftaten ihrer Lieblinge mit noch die Tatsache, das die breite Masse illegal hier ist.",,,,,,,,
48,0,"Typischer Fall von Eigenpolitiker Dem guten Mann ist leider nicht klar, das er Politik für seine Wähler und Bürger zu machen hat.",,,,,,,,,,,,,
49,0,Kirchliche Gedanken gehören nicht in die Politik Vielleicht sollte der Herr der Politik ganz den Rücken kehren und damit dem Steuerzahler nicht zur Last fallen.,,,,,,,,,,,,,,
50,0,"Die Jenaer können froh sein, wenn er Ex-Bürgermeister bleibt, wegen seiner Einstellung zur Migranten-Politik!!!",,,,,,,,,,,,
51,0,Das kommt vom Herumgeeiere von Merkel.,,,,,,,,,,,,,,
52,0,Nichts kommt von nichts Glückwunsch an die Grünen. Scheinen ja alles aufzunehmen in ihrer Partei.,,,,,,,,,,,,,,
53,0,"Merkel macht grüne Politik, Atomausstieg, faktisce Abschaffung der Bundeswehr, Kohleausstieg, Homo-Ehe etc... i",,,,,,,,,,
54,0,Allerdings: Ihre Auffassung zu ihrer Flüchtlings-Politik lehne ich dennoch in aller Form komplett ab !!!!,,,,,,,,,,,,,,
55,0,"Noch einer, der..... ......sich dieser Grün-Welle seine Gefolgschaft unterwerfen will, ohne sich scheinbar so wirklich bewusst zu sein, welche politische Ideologie diese Partei betreibt. Man muss kein großer Vordenker sein um erkennen zu können, das die Grünen am liebsten die deutsche Kultur völlig umkrempeln wollen. Wer sich zum Beispiel gegen den Begriff ""Weihnachtsmarkt"" und sogar am liebsten Tannenbäume verbieten will, der zeigt mir nur ganz deutlich seine wahre Ideologie auf.",,,,,,,,,
56,0,"Dieser Partei würde ich nie im Leben beitreten wollen, auch wenn ihre aktuelle Umweltpolitik in gewissermaßen gut zu heißen ist.",,,,,,,,,,,,,
57,1,Wie dumm muss man sein zu den verbietern der Nation zu wechseln somit ist er aus Bürgermeister nicht mehr akzeptabel und auch er wird seine Quittung bekommen,,,,,,,,,,,,,,
58,0,"Wow Ein armer verirrter ist euch so ein Report wert lieber Ficus??? Da gibt esnoch genügend andere Politiker die zu anderen neueren Partein gewechselt sind auch wegen dem Thema, passt wohl nur nicht in euer Weltbild...",,,,,,,,,,,,,
59,0,Ein armer verirrter,,,,,,,,,,,,,,
60,0,"Also Ich lese den Wechsel eher so : „ Mimimiimmiiiimmiiiii die haben mich nicht mitspielen lassen, weil das alles Rassisten sind in der CDU. „",,,,,,,,,,,,,
61,0,"Von diesen Leuten, die Ihr Fähnchen immer in den Wind hängen, gibt es leider viel zu viele in der Kommunalpolitik. Stellen die einen mich nicht mehr auf, wechsele ich einfach die Partei. Widerlich!",,,,,,,,,,,
62,0,"Spricht nicht für den Mann, eher für die CDU, die ihn nicht mehr wollte. Und das hat sicher einen Grund.",,,,,,,,,,,,
63,0,"Der sozial-ökologische Flügel? Ziemlich größenwahnsinnig von diesem Herrn, sich als Flügel zu bezeichnen. Daher passt er gut zu den Grünen. Vor allem, da die früher Aufgeklärten die Macht der Religion entdeckt haben.",,,,,,,,,,,,
64,0,"Der Herr Schenker... hätte sich in seiner CDU-Zeit mal die GFK, die Anerkennungsquote der ""Schutzsuchenden"" (unter 30%) und den Anteil der ""Schutzssuchenden"" in der Kriminalstatistik von Jena (14,8%) durchlesen sollen, bevor er die Partei wechselt, dieses T-Shirt anzieht und derartigen Unsinn erzählt...",,,,,,,,,,
65,1,"Verschmäht, verachtet, nicht mehr am Futtertrog und somit Parteiwechsel? ""Politiker"". Solche Blindschleichen liebte ich schon in der DDR. Heutige liebe ich auch!",,,,,,,,,,,,
66,0,Beleidigte Leberwurst oder Wendehals?,,,,,,,,,,,,,,
67,0,"Herr Schenker spielt nun den Beleidigten und wechselt schnell mal die Partei, wie andere ihre Socken. Zur Wendezeit bezeichnete man eine solche Person als “Wendehals“. Ich finde das erbärmlich. Eben die typische Reaktion eines jahrzehntelangen Berufspolitikers.",,,,,,,,,,,,,
68,0,"Aber, vielleicht hat der Wechsel zu den GRÜNEN doch etwas Gutes. Denn da kann Herr Schenker ja Robert Habeck dabei unterstützen, aus dem Freistaat Thüringen ein demokratisches Bundesland zu machen.",,,,,,,,,,,,
69,0,gut so gut so dass er bei den Grünen ist.da gehört er hin .,,,,,,,,,,,,,,
70,0,"Na dann noch einen für die Grünen mal sehen wie lange Zeit noch verstreichen wird, bis die Grünen Partei und Gutmenschen brauchen, um Deutschland endgültig zu grünen Auen und Baumbewohner zu deklarieren. Dazu passt aber nicht der Ausbau von Digitaler Neuzeit eher der altbewährte Rechenschieber, Holzroller als Fortbewegungsmittel sowie Weidenkorb zum Einkaufen Wasser holen aus dem Brunnen und Strom ist überbewertet ersetzen durch Kerzen und Laternen. Tolle Aussichten für den deutschen Staat . Willkommen in der Neuzeit der Grünen und Gutmenschen Fabrik!",,,,,,,,,,,
71,1,"Ja, es gibt ein Problem wenn man älter wird.Eine notarielle Vorsorgevollmacht ist zu empfehlen, damit solche Demenzerscheinungen aufgefangen werden können...",,,,,,,,,,,,
72,0,"Da die Grünen die Werte unseres Landes nicht nur in Frage stellen sondern diese torpedieren, liegt auf der Hand was ich davon halte wenn ein Bürgermeister seine ehemaligen politischen Gesinnung den Rücken kehrt! Die Grünen, nur noch bekannt durch Verbote, zeitgleich lebend in einer Traumwelt haben völlig den Sinn des machbaren verloren!",,,,,,,,,,,
73,0,"abgewählt ist nicht ausgetreten ... wer mit 48:10 Stimmen abgewählt wird, und dann wegen inhaltlicher Gründe austritt ist einfach nur eine beleidigte Leberwurst.",,,,,,,,,,,,,
74,0,"Wer sonst auch geht freiwillig zu den grünen außer diese Gutmenschen die ,die Realität einfach nicht wahr haben wollen,ich habe null toleranz für diese Menschen .",,,,,,,,,,,,
75,0,Es ist zu hoffen dieser gute Mann findet viele Mitstreiter denn genau diese Leute haben die CDU kaputt gemacht.,,,,,,,,,,,,,,
76,1,Pension Möge der ältere Herr in Pension gehen; seine Zeit ist vorbei. Er hat die Zeichen der Zeit nicht erkannt. Leider verlieren ältere Menschen oft den Bezug zur Realität.,,,,,,,,,,,,,,
77,0,"Da sieht man es wieder, die unfähigen und realitätsfernen Politiker, wechseln zur GRÜNEN! Da sind jetzt auch die gescheiterten Sozis zu finden!!",,,,,,,,,,,,
78,0,"Gut, dass dieser Ex-Bürgermeister sein Amt aufgegeben hat, denn dort ist er fehll am Platz!!!!",,,,,,,,,,,,
79,0,"Narzisst CDU und Grüne - ich verstehe nicht, was da der Unterschied sein soll? Gerade deren sog. Flüchtlingspolitik ist doch im wesentlichen identisch.",,,,,,,,,,,,,
80,0,Seit die CDU durch AM geentert wurde machen die grüne Politik und haben unser Land ruiniert.,,,,,,,,,,,,,,
81,0,So funktioniert Politik heute und Charakter. Mir wird ganz einfach schlecht.,,,,,,,,,,,,,,
82,0,Schwesterparteien De facto gibt zwischen der nach links abgedrifteten und vergrünten Merkel-CDU und den Original-Grünen kaum noch Unterschiede.,,,,,,,,,,,,,,
83,0,Zumindest ist er ehrlich Wenn all die „links-grünen Maulwürfe“ in der CDU so ehrlich wären und sich endlich outen würden hätte die CDU nicht solche Probleme. Man sollte nicht zweier Herren dienen!,,,,,,,,,,,,,,
84,0,"Als Ex-OB von Jena hat er .... ... sich bestens versorgt, seine Pension macht monatlich mehrere Tausend EUR aus; da zieht man sich doch schon mal gern ein derartiges T-Shirt an und strahlt über das ganze Gesicht, während der Jenaer Straßenbahn-Fahrer, die Putzfrauen in der Goethe-Gallerie und die Arbeiter des städtischen Bauhofes die Zechen - auch seiner Flüchtlingspolitik - zu zahlen haben.....",,,,,,,,,,,
85,0,"Statt in die Augen kriminelle Schlepper hoch bezahlender Flüchtlingsdarsteller zu schauen, hätte er auch in die Augen des Querschnittsgelähmten, dem man seinen Rollstuhl zu pfänden versuchte und dann seinen Hund nahm. schauen sollen.",,,,,,,,,,,,
87,0,"Gott hat demnach den Menschen nach seinem Bilde geschaffen, woraus sich die WÜRDE des Menschen als schützenswertes Gut herleitet. D.h. für mich eine humane Flüchtlingspolitik. Gleichzeitig befürwortet die Union die Ausweisung krimineller Ausländer. Also ein Mann wie Schenker hat in der CDU grundsätzlich ein Zuhause.",,,,,,,,,,,,,
88,0,Ist doch schön für ihn und auch für die CDU welche jetzt einen Edelgrünen weniger in der Partei haben mit seiner Einstellung passt er perfekt zu Grün,,,,,,,,,,,,,,
89,1,"der Herr sollte besser in der katholischen Kirche ein Amt - eine Tätigkeit aufnehmen. So patoral wie er sich äußert, würde er besser dort passen.",,,,,,,,,,,,,
90,0,"So ist das mit den Gutmenschen sie fallen aus allen Wolken, wenn sie nicht alle gut finden.",,,,,,,,,,,,,
91,0,"Und letztlich hat er doch die richtige Wahl getroffen, bei den Grünen scheint er mir mit seiner Einstellung gut aufgehoben.",,,,,,,,,,,,,
92,0,"Als Bürgermeister ist er definitiv untauglich, schlimmer noch war auch untauglich, denn in so einem Amt kann man nicht seine persönlichen Präferenzen ausleben sonder muss unterschiedliche Interessen zusammen führen, Kompromisse schmieden, soll integrieren und nicht polarisieren.",,,,,,,,,,
93,0,"Hochtrabende Worte... ... was bedeutet denn ""humane Flüchtlingspolitik""? Etwa wie derzeit umgesetzt... hunderttausende abgelehnten Asylanten die jedoch ""geduldet"" werden. Und das ganze vom Steuerzahler alimentiert?!? NEIN DANKE!!!",,,,,,,,,,,,,,
94,0,"Aber wenn man dann über soviel Undankbarkeit, verbittert und uneinsichtig schmollt, na ja dann wechselt man eben die Partei und vielleicht erhält man da ja wieder ein Pöstchen und verletzte Stolz und Ego beruhigen sich wieder.",,,,,,,,,,,,
95,1,Die Rückzuführenden bekommen dann Hand und Fussfesseln sowie einen Beiß- und Spuvkschutz über den Kopf. Hier müssen die Menschenrechte mal nachrangig sein. Wer sich nicht benehmen kann muss mit solchen Mitteln rechnen.,,,,,,,,,,,,,,
96,0,Ratlos Die desaströsen Wahlen haben bewirkt das die jetzige Regierung nur Interesse zeigt wenn es um die eigenen Pfründe geht denn nach den nächsten Wahlen könnten sie sich evt. auf dem Arbeitsmarkt wiederfinden.,,,,,,,,,,,,,,
97,0,"Diese Laien haben keinen Schimmer was sie da tun aber Steuergelder verschleudern, das können sie.",,,,,,,,,,,,,
98,0,Dieser Staat ist nur noch lächerlich So etwas darf nicht freiwillig gemacht werden sondern als ganz normaler Dienst. Wo sind wir gelandet bei wünsch dir was? Da wundern sich immer die Naivlinge das immer mehr Leute die alt Parteien nicht für voll nehmen.,,,,,,,,,,,,,,
99,0,"Andere Länder Andere Länder lassen diese Menschen erst gar nicht über die Grenze, so entsteht keine falsche Hoffnung. Andere Länder lassen Asylbewerber nur eingezäunt (außer zur Heimreise) bis zur Entscheidung. Das Problem ist, daß wir sie so lange hier lassen.",,,,,,,,,,,,
100,1,"Bezahlung Wer das Zeug rausschaffen soll, der muss auch gut bezahlt werden. Welcher Kanaltaucher taucht denn in der Sscheisse, ohne entsprechend bezahlt zu werden?",,,,,,,,,,,,
101,1,"Deutschland wie es leibt und lebt Unfassbar was hier abläuft. Alle ""willkommensbeduselten Politiker"" sollten an so einem Flug einmal teilnehmen und sehen, was sie angerichtet haben. Warum man diese Leute überhaupt auf Staatskosten ausfliegt erschließt sich mir auch nicht so recht.",,,,,,,,,,,,,
102,1,"Nach Deutschland sind sie auch von selbst gekommen. In anderen Ländern muß man sich zum Tag X an einem bestimmten Ausreiseflughafen/Grenzposten melden und auf eigene Kosten ausreisen, warum nicht auch hier? Bei Zuwiderhandlung gibt es Knast/Geldstrafe/Wiedereinreisesperre.",,,,,,,,,,,,,
103,1,"Abschiebung Wo ist das Problem? Hand- und Fusfesseln, ein Spuckschutz vor dem Gesicht und die Bundespolizei mit Teaser bewaffnet und ab geht die Post .",,,,,,,,,,,,,
104,1,"Wie verhalten sich Polizisten in den Heimatländern Wenn sie bespuckt, oder getreten werden? Ich glaube kaum das einer der Ausreisepflichtigen sich dort so benehmen werde. Warum müssen sich in Deutschland die Polizisten alles gefallen lassen? Gut, nicht gleich schießen, aber den Gummiknüppel sollte man schon verwenden.",,,,,,,,,,,
105,1,Da kostet mal ein Flieger 160.000euro Und es sitzen 12 abzuschiebende im Flugzeug. Die Wachmamnschaft wird mit Centstücken abgespeist. Vielleicht sollte die Länder mal über private Sicherheitsfirmen nachdenken. Je abgeschobenen Migranten Betrag X. Dann sind sie Flugzeuge voll,,,,,,,,,,,,,,
106,1,"Hier werden Beamte infiltriert sich schlecht zu fühlen bei der Ausübung ihrer Tätigkeit; dies jedoch darf nicht sein! Wenn unberechtigte Asylbewerber sich gegenüber Beamten nicht angemessen benehmen, sind entsprechende Maßnahmen zu ergreifen, damit sich die Beamten nicht mehr schlecht in der Ausübung ihres Jobs fühlen müssen!",,,,,,,,,,,,
107,0,Wut der Abschiebe-Polizisten Nur 50 Prozent der Abschiebungsversuche sind erfolgreich. Ein Drittel der Abgeschobenen tauchen später in D wieder auf. Dieses Land ist ein Narrenschiff.,,,,,,,,,,,,,,
108,0,"Mir kommen die Tränen Ich denke, wir haben in der Bevölkerung so viele Freiwillige die bei den bundesweiten Tafeln unentgeltlich in ihrer privaten Kleidung ohne Abnutzungsentschädigung viele Stunden ableisten. Da werden sich bestimmt auch genügend Freiwillige für die Gesetzmäsigen Abschiebungen finden lassen. Ohne Klagen über schlechte Hotels und sonstige Reiseerscheinungen.",,,,,,,,,,,,,
109,1,"Prävention ist besser Ich finde, wenn man einfach die Grenzen schützen würde, wie das normale Staaten machen, bräuchte man auch weniger abschieben.",,,,,,,,,,,
110,0,"Keine Herzzereißende Szenen spielen sich ab das Gegenteil ist der Fall,die Polizisten werden bespuckt,bedroht und aggressiv angegriffen das ist der traurige Alltag !",,,,,,,,,,,,
111,1,"bitte lasst doch mal die Gutmenschen diese Arbeit für nur 2 Stunden tun , ich bezweifle ob sie dann immer noch ihre Aktionen zur Rettung der Migranten fortsetzen !",,,,,,,,,,,,,
112,0,"Die Deutsche Staatsgewalt ist leider nicht mehr den Namen wert. Völlig unverständlich das hier z.B. keine ""SOKO Abschiebung"" zur Aufspürung, Festsetzung und letztendlich kompromissloser Abschiebung krimineller Asylanten eingerichtet wird, welche auf eigene Piloten und Flugzeuge etc. verfügen.",,,,,,,,,,,,
113,0,"Offensichtlich wird das aber von der Gott Kaiserin nicht erwünscht, bzw. untersagt",,,,,,,,,,,,,
114,0,Im Zweifel engagiert man auch einen privaten Dienstleister. Das funktioniert im Straf- und Rechtssystem der USA hervorragend. Und die müßen sich ja mit Demokratie und Rechtsstaatlichkeit auskennen.,,,,,,,,,,,,,,
115,1,Aber alle Fürsorge für die Abschiebekanduaten. Warum werden dies nicht in orangen Jmppanzügen mit Hand und Fussfesseln in abgetrenten Kabinenteilen mit Boden Fixierung; gegen spucken helfen Hauben über den Kopf. Das ist genau das Richtige für Kriminelle und renitente Aspiranten.,,,,,,,,,,,,,,
116,0,"Typisch deutsch Die Zulagen für die begleitenden Polizeibeamten penibel genau abrechnen, dass ja keiner einen Cent zuviel bekommt.",,,,,,,,,,,,,
117,0,Politik ..von heute..alles was unangenehm werden könnte unter den Tisch kehren und alles andere versuchen schlecht zu machen.,,,,,,,,,,,,,,
118,1,"Einfach nur beschämend! Ohne finanziellen Anreiz würde ich diesen Job auch nicht freiwillig machen! Ferner ist sowieso alles nur ein Tropfen auf den heißen Stein, da diese Personengruppen erst gar nicht ins Land gelassen werden durften. Völliges politisches Versagen! Seehofer hatte nicht das Rückgrat gegen Merkel aufzubegehren. Und jetzt hat man eigentlich gar nichts mehr von ihm.",,,,,,,,,,,,,
119,1,"1,20 € damit sich der Polizist die private Kleidung von einem kriminellen Asylanten bespucken läßt ? sich treten läßt (andere Länder schieben in Hand + Fußfesseln ab).",,,,,,,,,,,,,
121,0,"Für Rückholung von Maas und den Schwachsinn von von der Leyen ist Kohle da, aber für diejenigen die mit Drecksarbeit das Versagen der Politik ausbügeln sollen, nicht.",,,,,,,,,,,,
122,0,"Eine gewaltige Stresssituation ist es also für den ABGELEHNTEN Asylbewerber der ausreisen muss. Ja klar, einen All inklusive Urlaub gibt niemand auf, der irgendwo noch ein Schlupfloch findet. Sorry, ich finde es unmöglich.",,,,,,,,,,,
123,1,"Widersetzt sich einer, muss halt wie in den USA üblich bei Gefangenentransportem der Ausreiseunwillige gezwungen werden Fußfesseln, Handschellen und Spuckschutz tragen. Wer randaliert wird ansediert.",,,,,,,,,,,,
